rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1
0.2040170431137085,0,0,1,0.30048636,0.6995136
-0.1173214316368103,0,1,0,0.8135119,0.18648802
0.10098183155059814,1,1,0,0.7621339,0.23786616
0.22541362047195435,0,0,1,0.34439543,0.6556046
0.32895052433013916,0,0,0,0.5831871,0.4168129
0.14661180973052979,0,0,1,0.35155278,0.6484473
0.2323160171508789,1,1,1,0.49126288,0.5087371
-0.13126569986343384,0,0,0,0.92233306,0.07766697
0.2452392578125,0,0,1,0.3593264,0.64067364
0.09666341543197632,0,0,1,0.4578414,0.5421586
0.07774168252944946,1,1,1,0.32013065,0.6798694
0.2866455912590027,1,1,0,0.5328266,0.46717343
-0.0837244987487793,0,1,0,0.8521392,0.14786085
0.35271716117858887,1,1,0,0.5609643,0.43903574
0.11995583772659302,1,1,0,0.7475168,0.25248322
0.24335068464279175,1,0,1,0.32281342,0.67718655
0.030347168445587158,0,0,0,0.8500661,0.14993389
0.23127233982086182,0,0,0,0.5718301,0.42816988
0.2083526849746704,1,1,1,0.41696483,0.58303523
0.16876965761184692,1,1,0,0.7075344,0.29246566
0.4075268507003784,1,1,1,0.487027,0.512973
-0.040784358978271484,0,1,0,0.84305364,0.1569463
-0.036201417446136475,0,1,0,0.80373126,0.19626877
-0.028306245803833008,1,1,1,0.2012426,0.79875743
-0.11304599046707153,1,1,1,0.14429246,0.8557075
0.23512935638427734,1,1,1,0.42704645,0.5729535
0.22613590955734253,1,0,1,0.446725,0.553275
0.1976444125175476,0,0,0,0.6017509,0.3982491
0.0463869571685791,0,1,1,0.26911873,0.7308813
-0.08129686117172241,1,1,1,0.22226039,0.77773964
0.4288046956062317,0,0,1,0.4911954,0.50880456
0.14734089374542236,1,1,1,0.35411578,0.64588416
0.16585296392440796,0,0,0,0.55076206,0.449238
0.1630159616470337,1,1,1,0.38770708,0.61229295
0.04247373342514038,1,1,1,0.19912702,0.800873
0.37657225131988525,0,0,0,0.56617993,0.43382007
0.3365943431854248,1,1,1,0.48355293,0.51644707
0.15160256624221802,0,0,1,0.28129527,0.7187047
0.13117021322250366,1,0,1,0.40927592,0.59072405
0.1887391209602356,1,0,1,0.3491994,0.6508005
0.015532910823822021,0,0,0,0.6173963,0.38260373
0.326729953289032,1,1,1,0.47463623,0.5253638
-0.01205509901046753,0,0,1,0.429312,0.570688
0.16959142684936523,0,0,1,0.31676632,0.6832337
-0.0653645396232605,0,0,0,0.8367031,0.16329685
-0.11535710096359253,1,1,1,0.23630145,0.7636985
0.1267186403274536,1,1,0,0.74634886,0.25365114
0.05169999599456787,0,1,1,0.38543978,0.6145602
-0.12615609169006348,1,0,1,0.16630477,0.83369523
0.3001464605331421,1,1,0,0.56024325,0.4397568
0.22796249389648438,1,0,1,0.47065187,0.5293482
0.4139942526817322,0,0,0,0.5058448,0.49415526
-0.018441319465637207,0,0,0,0.8605781,0.13942194
0.35219806432724,0,0,0,0.5361157,0.46388432
0.32568347454071045,0,1,0,0.5266489,0.47335112
0.2581482529640198,0,0,0,0.62333256,0.37666744
0.37264782190322876,1,1,1,0.44834998,0.55165
-0.21613508462905884,0,1,0,0.89776,0.102239996
0.25555235147476196,1,1,0,0.5516583,0.44834173
0.2599271535873413,0,0,0,0.5150548,0.4849452
0.27820295095443726,0,1,1,0.48593625,0.5140637
0.2871227264404297,0,1,1,0.3682133,0.63178664
0.03426581621170044,1,0,1,0.19514464,0.80485535
0.2229069471359253,0,0,0,0.61337715,0.38662285
0.2066488265991211,1,0,0,0.54971063,0.45028943
-0.026137053966522217,1,1,1,0.2887878,0.71121216
0.40400296449661255,0,0,1,0.48984227,0.5101577
-0.06708574295043945,0,0,0,0.82986045,0.17013949
0.13183414936065674,0,0,0,0.669387,0.33061296
0.1469728946685791,0,0,0,0.68885493,0.31114507
0.14827418327331543,0,0,1,0.30708838,0.69291157
0.0641324520111084,1,1,0,0.7180969,0.28190306
0.21360689401626587,1,1,0,0.5502532,0.4497468
0.011972904205322266,1,1,1,0.1816983,0.8183017
0.059254229068756104,0,0,0,0.5789504,0.42104957
-0.04260265827178955,1,1,1,0.313496,0.686504
-0.22690057754516602,0,0,0,0.9196035,0.08039643
0.31536680459976196,0,0,1,0.49564794,0.5043521
0.025556087493896484,0,0,1,0.22826023,0.7717398
0.3194739818572998,0,0,1,0.42786396,0.57213604
0.3202676773071289,1,1,1,0.44847918,0.5515208
-0.13098949193954468,1,1,1,0.20050807,0.7994919
-0.07397812604904175,1,1,1,0.18681511,0.8131849
0.30509495735168457,0,1,0,0.62230235,0.37769765
0.037009239196777344,1,0,1,0.32311428,0.6768857
0.3947771191596985,1,1,1,0.47815958,0.52184045
-0.055829524993896484,0,0,1,0.18584253,0.8141575
0.28125232458114624,1,1,1,0.4874222,0.51257783
-0.11408895254135132,0,0,0,0.85433805,0.14566189
0.19690513610839844,1,1,1,0.3687205,0.63127947
0.2822797894477844,1,1,1,0.3677158,0.6322842
0.0877184271812439,0,1,0,0.59875995,0.40124008
0.3671535849571228,1,1,1,0.43471488,0.5652851
0.26777297258377075,1,1,0,0.5871829,0.41281712
-0.08009570837020874,1,0,1,0.28971797,0.710282
-0.04268825054168701,1,0,1,0.29083627,0.7091638
0.3940930962562561,0,0,0,0.5299858,0.4700142
0.2157294750213623,1,0,1,0.4034539,0.5965461
0.089119553565979,1,1,1,0.39892498,0.60107505
0.23045170307159424,0,0,0,0.659608,0.34039202
0.30148226022720337,0,1,1,0.4567577,0.54324234
-0.03036797046661377,1,0,1,0.34934843,0.65065163
-0.07035356760025024,1,0,1,0.21166165,0.7883383
0.0003249645233154297,1,1,1,0.21515276,0.7848473
0.08747148513793945,1,0,1,0.3132886,0.68671143
0.3638693690299988,1,1,0,0.51051897,0.48948103
0.1177336573600769,1,0,1,0.35809296,0.64190704
0.03923851251602173,1,0,0,0.6113587,0.38864133
0.23158681392669678,1,1,1,0.384839,0.615161
-0.11338573694229126,1,1,1,0.10734775,0.8926523
0.13301992416381836,0,0,1,0.33187327,0.66812676
0.13688403367996216,1,1,1,0.36892775,0.6310723
0.10345345735549927,0,0,1,0.25932774,0.74067223
0.31160861253738403,0,0,0,0.5753869,0.42461315
0.2529323101043701,1,1,0,0.5916163,0.40838373
0.004189848899841309,1,1,1,0.24918173,0.75081825
-0.14980542659759521,1,1,1,0.10684025,0.89315975
0.14606845378875732,0,0,1,0.31778643,0.68221354
0.26260411739349365,0,0,0,0.6618003,0.33819968
0.2925835847854614,0,0,0,0.55373925,0.44626072
0.2879917621612549,1,1,0,0.53608936,0.4639107
0.24218767881393433,1,1,1,0.44021693,0.5597831
0.08490175008773804,1,0,0,0.6563479,0.34365216
-0.12003803253173828,1,1,1,0.16943188,0.8305681
0.1726476550102234,0,0,0,0.6512491,0.34875095
0.18049907684326172,0,0,1,0.26849473,0.7315053
0.2942821979522705,0,0,0,0.6107313,0.38926876
0.1447269320487976,1,1,1,0.39131927,0.6086807
0.25614142417907715,1,1,0,0.6327767,0.36722326
0.1892491579055786,1,0,1,0.46506557,0.53493446
0.22577697038650513,0,0,1,0.33138475,0.6686153
0.36186540126800537,1,1,0,0.5250863,0.47491375
0.26579415798187256,0,1,0,0.5962588,0.4037412
-0.013461649417877197,0,0,0,0.76122576,0.23877425
0.09273886680603027,1,0,0,0.77617836,0.2238217
-0.05706369876861572,0,0,0,0.78664565,0.21335433
0.0004069209098815918,0,0,0,0.7680342,0.23196582
0.24692755937576294,1,1,1,0.4996419,0.5003581
0.09838885068893433,0,0,0,0.7187366,0.2812634
-0.15876513719558716,0,0,0,0.8803309,0.11966911
0.1504669189453125,1,1,1,0.28241885,0.7175812
0.32041287422180176,1,1,1,0.40287912,0.5971208
0.13395404815673828,1,1,1,0.38987616,0.6101239
0.17711621522903442,1,1,1,0.4026882,0.5973118
-0.06050902605056763,1,1,1,0.2080535,0.79194653
0.1435617208480835,0,0,1,0.34634534,0.6536547
0.1972881555557251,0,0,0,0.6042863,0.3957137
0.23305273056030273,0,0,0,0.58214927,0.41785076
