rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1,class_probs_2
0.04332435131072998,1,1,1,0.1810369,0.73568016,0.0832829
-0.029309719800949097,1,1,1,0.086535886,0.89723146,0.016232623
-0.2508150637149811,1,1,1,0.028605733,0.9670843,0.0043100286
-0.12640783190727234,1,1,1,0.059599675,0.937118,0.0032822997
-0.0034113526344299316,1,1,1,0.021485355,0.963612,0.014902611
-0.20876926183700562,1,1,1,0.014661624,0.98486495,0.0004733559
-0.038612037897109985,1,1,1,0.26766735,0.72695893,0.0053737634
-0.19114738702774048,2,2,2,0.0071237586,0.16381943,0.8290568
-0.059462010860443115,1,1,1,0.012716085,0.98304003,0.004243927
-0.11254680156707764,1,0,1,0.0030981142,0.9966807,0.00022123843
-0.0263669490814209,1,1,1,0.057496145,0.93681544,0.0056884596
-0.1794673204421997,1,1,1,0.07392326,0.9185359,0.007540805
0.09803813695907593,2,2,2,0.006670113,0.32586348,0.6674664
-0.2578853964805603,1,1,1,0.020732014,0.9753028,0.0039651035
-0.13528847694396973,1,1,1,0.010535434,0.976752,0.01271256
0.047355860471725464,1,1,1,0.011526758,0.9437818,0.044691503
-0.38789205253124237,2,2,2,0.005190697,0.2159381,0.7788712
0.08512890338897705,1,1,1,0.024439568,0.9605236,0.015036798
-0.09511253237724304,1,1,1,0.060030118,0.93523633,0.0047335075
0.0720507800579071,1,1,1,0.08674298,0.9105178,0.0027392437
-0.23080268502235413,1,1,1,0.027891865,0.97203743,7.068027e-05
-0.18022283911705017,1,1,1,0.0085152425,0.98884726,0.002637459
-0.11706116795539856,1,1,1,0.016797964,0.9765311,0.006670903
-0.13296902179718018,1,1,1,0.05852801,0.9326264,0.008845606
-0.18167942762374878,1,1,1,0.016766135,0.98175204,0.0014817631
-0.15031802654266357,2,2,2,0.023170514,0.10833574,0.8684938
-0.24793395400047302,2,2,2,0.012799612,0.26585177,0.7213487
0.1259787380695343,2,2,1,0.02498921,0.6741662,0.3008446
-0.12511557340621948,1,1,1,0.0019823266,0.99796695,5.0733815e-05
-0.25801292061805725,2,2,2,0.024973856,0.18204863,0.7929775
-0.2082788050174713,1,1,1,0.0007224923,0.9980088,0.0012687616
-0.02486264705657959,2,2,2,0.023686603,0.18647219,0.7898411
-0.08538064360618591,1,1,1,0.004202885,0.99258786,0.003209241
-0.004872769117355347,1,1,1,0.020107666,0.9763423,0.0035500154
-0.19681283831596375,1,1,1,0.0011414988,0.9985728,0.00028571536
0.1829269528388977,2,1,1,0.20297252,0.6470575,0.14997002
-0.20146048069000244,1,0,1,0.002142403,0.9971603,0.0006973261
-0.25990885496139526,1,1,1,0.014445571,0.98352814,0.0020262222
0.009443432092666626,1,1,1,0.033415172,0.9656763,0.0009085455
0.034622371196746826,1,2,1,0.106432505,0.87976605,0.013801464
-0.11523503065109253,1,1,1,0.0051232697,0.9665127,0.028364059
-0.16063499450683594,1,1,1,0.04029628,0.95269334,0.007010378
0.14053967595100403,1,1,1,0.12960306,0.53125775,0.33913922
0.10730251669883728,1,1,0,0.5797976,0.31203678,0.108165644
-0.01754269003868103,1,1,1,0.0066779703,0.9610332,0.032288786
-0.007139027118682861,1,1,1,0.0029425707,0.97038704,0.02667039
-0.13400253653526306,1,1,1,0.021144222,0.9513825,0.027473234
-0.11237064003944397,1,1,1,0.0042788982,0.9812129,0.014508198
0.08264222741127014,1,1,1,0.04555411,0.6215695,0.33287638
-0.02534547448158264,1,1,1,0.011052707,0.98356205,0.0053852084
0.03036937117576599,1,1,1,0.0048292857,0.9910148,0.004155948
-0.07317784428596497,1,1,1,0.001430088,0.973546,0.025023902
