rej_score,labels,hum_preds,preds,class_probs_0,class_probs_1,class_probs_2,class_probs_3,class_probs_4,class_probs_5,class_probs_6,class_probs_7,class_probs_8,class_probs_9
-0.15718749165534973,4,4,4,0.00035529895,0.0057565295,0.0024151455,0.0011279861,0.9077113,0.0034622264,0.0004177463,0.07618966,0.0009216996,0.0016423821
0.07790759205818176,7,7,7,0.007376449,0.02000102,0.01848225,0.025446223,0.08988005,0.033316497,0.0060353973,0.78097296,0.009089673,0.009399405
0.20891112089157104,2,2,6,0.046995733,0.018251158,0.08887825,0.049599197,0.0638443,0.028695358,0.6440381,0.012260314,0.022443758,0.024993872
0.0833626389503479,5,5,5,0.00215451,0.0057652425,0.025934681,0.019568576,0.019261338,0.89882964,0.017036378,0.0018425459,0.0010057408,0.008601384
-0.10730031132698059,9,9,9,0.007095247,0.0073474897,0.0012230263,0.005193534,0.0041845473,0.0014244309,0.0024537665,0.0068893884,0.004632689,0.95955586
0.5729856044054031,1,1,1,0.028913802,0.5032093,0.04507976,0.123416334,0.024161268,0.1170215,0.0200069,0.017425958,0.044653974,0.07611124
0.2894997149705887,3,5,3,0.01195724,0.010825341,0.10926012,0.52264553,0.04338043,0.09893464,0.056288663,0.042234223,0.04971922,0.054754574
0.35134267807006836,4,4,4,0.074994095,0.023291534,0.06913588,0.024031885,0.6619158,0.026849125,0.012484341,0.04107958,0.03403095,0.03218689
-0.4527502954006195,0,0,0,0.9528427,0.0031613,0.004460737,0.003078389,0.004381436,0.0060312147,0.002745417,0.008284158,0.011081333,0.003933363
-0.1934831440448761,2,2,2,0.0036691497,0.005732992,0.949753,0.006009703,0.0035619133,0.0036982764,0.005537005,0.007390584,0.01266202,0.0019853376
0.29281795024871826,9,9,9,0.0015025564,0.00084576366,0.0029497875,0.0006325811,0.00060796156,0.0005628236,0.0011889333,0.0010875232,0.00051992247,0.99010205
0.646002471446991,9,9,9,0.008381772,0.007958992,0.07985839,0.013518061,0.0037012259,0.010364163,0.0029856274,0.007618971,0.0056057465,0.8600071
-0.2538503110408783,5,5,5,0.0007509927,0.0010616804,0.00033866102,0.0034000934,0.00019492712,0.9913932,0.00033713822,0.00072071305,9.1334725e-05,0.0017112478
-0.002577841281890869,0,0,0,0.82735085,0.01278722,0.019601885,0.023989767,0.005675144,0.011074356,0.021179592,0.01761005,0.056366134,0.004364991
-0.10196009278297424,9,9,9,0.022840459,0.03114389,0.010041221,0.0133795645,0.0040507102,0.019181376,0.0034186153,0.014255157,0.022790838,0.8588982
0.35082049667835236,6,6,6,0.050438028,0.033782285,0.120250836,0.06797808,0.059290957,0.06531425,0.33138674,0.022212274,0.066670045,0.18267646
0.08845245838165283,1,1,1,0.00011005384,0.99935764,8.1867714e-05,1.1374072e-05,0.00014240191,3.4305118e-05,5.4174116e-06,9.456766e-05,9.4388524e-05,6.7997695e-05
0.326561838388443,9,9,2,0.11740925,0.045041464,0.615886,0.02621531,0.013319328,0.02764382,0.028684504,0.03328216,0.054063402,0.038454823
0.19455158710479736,3,3,5,0.006823468,0.011672648,0.058132686,0.22759879,0.041440003,0.48578718,0.076832764,0.057707787,0.014350977,0.019653747
0.21411103010177612,2,2,2,0.025961166,0.021387652,0.5356284,0.13388453,0.013537507,0.086762264,0.06841726,0.06255957,0.032482367,0.019379234
0.542827419936657,0,0,3,0.14273186,0.028806329,0.04082739,0.20699888,0.036137417,0.0829826,0.14824659,0.19077557,0.02711821,0.09537515
0.25600482523441315,1,1,9,0.017385073,0.39167762,0.010879689,0.010647765,0.0055810013,0.003903901,0.013861633,0.012602067,0.08902347,0.44443774
0.47622133791446686,3,3,5,0.09032772,0.03424748,0.13127372,0.08820689,0.033848163,0.21729317,0.08781073,0.063554384,0.19418006,0.059257716
0.372677743434906,0,0,0,0.61595875,0.021424314,0.05419721,0.008157785,0.021970572,0.05190248,0.13036866,0.041457348,0.018394664,0.036168173
0.40303778648376465,3,3,3,0.06174824,0.05128478,0.07684859,0.27262053,0.04214066,0.24215828,0.053448424,0.07514971,0.07562227,0.04897854
0.14611554145812988,7,7,7,0.012679328,0.017493276,0.014301337,0.010457748,0.070225336,0.060252238,0.0069219777,0.7734938,0.015222225,0.018952696
-0.10447391867637634,9,9,9,0.0001426781,3.155486e-05,1.0446614e-05,3.0145198e-05,1.925047e-05,7.648211e-05,1.377799e-05,1.722477e-05,1.6851873e-05,0.9996414
-0.13333845138549805,8,8,8,0.08602647,0.023184266,0.013388778,0.012945353,0.01089256,0.006157513,0.009039369,0.010516902,0.8013308,0.026517956
-0.05238792300224304,8,8,8,0.009657396,0.035104655,0.008937562,0.0058561163,0.0056664073,0.0030962492,0.0111973975,0.004694813,0.90160143,0.014187928
0.03544500470161438,9,9,9,0.002407515,0.056419924,0.0020652453,0.011249241,0.0034095515,0.0116679855,0.005031435,0.0038456386,0.006378261,0.8975253
-0.46326038241386414,1,1,1,0.0001762932,0.99867046,0.00028854303,3.8990438e-05,7.396207e-05,3.5436355e-05,7.811832e-05,0.00010788175,0.00011170293,0.00041852723
0.18258455395698547,3,3,3,0.041447148,0.012346802,0.0131041985,0.68226475,0.011400542,0.111969866,0.021531533,0.026974367,0.06547511,0.013485665
